Abstrakta och konkreta medlemmar	Abstract and concrete members
Algoritm: SEQ-COPY	Algorithm: SEQ-COPY
Algoritmexempel: MIN	Algorithm example: MIN
Alternativ med if-uttryck	Alternatives with if expressions
Alternativ till arv: komposition	Alternative to inheritance: composition
Anonym klass	Anonymous class
Anonyma funktioner	Anonymous functions
Anropsstacken och aktiveringsposter	The call stack and activation records
Anropsstacken och objektheapen	The call stack and the object heap
Använda for-uttryck för filtrering med hjälp av gard	Using for expressions for filtering with a guard
Använda samlingsmetoden filter för filtrering	Using the collection method filter for filtering
Applicera anonyma funktioner på element i samlingar	Applying anonymous functions to elements in collections
Applicera funktioner på element i samlingar med map	Applying functions to elements in collections with map
Att bygga strängar: konkatenering och interpolering	Building strings: concatenation and interpolation
Att sortera och jämföra strängar lexikografiskt	Sorting and comparing strings lexicographically
Attribut i kompanjonsobjekt användas för sådant som är gemensamt för alla instanser	Attributes in companion objects are used for what is common to all instances
Behovet av gemensam bastyp	The need for a common base type
Bygg ny samling från befintlig med for-yield-uttryck	Build a new collection from an existing one with a for-yield expression
Bättre att initialisera med hjälp av klassparametrar	Better to initialize using class parameters
Case-klasser	Case classes
Case-klasser är som vanliga klasser med extra godis	Case classes are like ordinary classes with extra goodies
Datamodellering	Data modelling
Definiera namn på uttryck	Defining names for expressions
Den fantastiska nyckel-värde-tabellen Map	The fantastic key-value table Map
En final medlem kan ej överskuggas	A final member cannot be overridden
En trait kan ha abstrakta medlemmar	A trait can have abstract members
Enum och mönster-matchning	Enum and pattern matching
Enumerationer har en ordning	Enumerations have an ordering
Enumerationer kan ha parametrar och medlemmar	Enumerations can have parameters and members
Ett minimalt fristående program i Scala	A minimal standalone program in Scala
Ett smidigt sätt att skapa 2-tupler med metoden ->	A convenient way to create 2-tuples with the method ->
Exempel på oäkta funktioner: slumptal	Examples of impure functions: random numbers
Exempel: Generisk funktion	Example: Generic function
Exempel: Klassen Complex	Example: The class Complex
Exempel: SEQ-INSERT/REMOVE-COPY	Example: SEQ-INSERT/REMOVE-COPY
Exempel: oföränderliga case-klassen Point	Example: the immutable case class Point
Exempel: singelobjektet med förändringsbart tillstånd	Example: the singleton object with mutable state
Exempel: Överskuggning och override	Example: Overriding and override
Fler exempel nyckel-värde-tabell	More key-value table examples
Flyttalsaritmetik	Floating-point arithmetic
Från sekvens av par till tabell	From a sequence of pairs to a table
Funktion, argument, parameter	Function, argument, parameter
Funktion: deklaration och anrop	Function: declaration and call
Funktioner med defaultargument	Functions with default arguments
Funktioner med namngivna argument	Functions with named arguments
Funktioner är äkta värden i Scala	Functions are first-class values in Scala
Funktionsvärden kan vara argument	Function values can be arguments
Förhindra felaktiga attributvärden med setters	Prevent invalid attribute values with setters
Förändring av objektets tillstånd	Changing the object's state
Getters och setters	Getters and setters
Getters och setters i Scala	Getters and setters in Scala
Grundtyper i Scala	Basic types in Scala
Hantera undantag som ett värde med Try	Handle exceptions as a value with Try
Heltalsaritmetik	Integer arithmetic
Hur förhindra subtypning?	How to prevent subtyping?
Hur indexera i matriser?	How to index into matrices?
Hur skapa matriser?	How to create matrices?
Idiom: Privata variabler med understreck vid krock	Idiom: Private variables with an underscore on name clash
Implementation av sekvensproblem med map, filter	Implementing sequence problems with map, filter
Indexering i en matris	Indexing in a matrix
Indirekt instansiering med fabriksmetoder	Indirect instantiation with factory methods
Inkapsling: att dölja interna delar	Encapsulation: hiding internal parts
Inmixning	Mixin
Insättningssortering på plats -- pseudo-kod	In-place insertion sort -- pseudo-code
Introduktion	Introduction
Iterera över nästlad struktur	Iterating over a nested structure
Jämföra strängar: likhet	Comparing strings: equality
Kasta undantag direkt med primitiva throw	Throw exceptions directly with primitive throw
Klassdeklarationer och instansiering	Class declarations and instantiation
Klasser och datamodellering	Classes and data modelling
Kolla om det passar med match-uttryck	Check if it fits with a match expression
Kollektiva extensionsmetoder	Collective extension methods
Kompanjonsobjekt med indirekt instansiering	Companion objects with indirect instantiation
Konstruktormönster med case-klasser	Constructor patterns with case classes
Kontrollstrukturer: alternativ och repetition	Control structures: alternatives and repetition
Konvertera mellan olika samlingstyper	Converting between different collection types
Lata variabler med fördröjd initialisering	Lazy variables with delayed initialization
Linjärsökning: hitta index för elementet x	Linear search: find the index of element x
Logiska uttryck	Logical expressions
Lokala funktioner	Local functions
Loopa genom elementen i en vektor	Looping through the elements of a vector
Loopa genom en samling med en while-sats	Looping through a collection with a while statement
Loopa med Range	Looping with Range
Loopa med Range skapad med to	Looping with a Range created with to
Lägg till metoder i efterhand med extension	Add methods afterwards with extension
Läsa text från fil och webbsida	Reading text from a file and a web page
Lösning: klassen Person	Solution: the class Person
Matchning med eller-mönster	Matching with or-patterns
Matchning med gard	Matching with a guard
Matchning med typade mönster	Matching with typed patterns
Matchning med variabelmönster	Matching with variable patterns
Matchning på tupler	Matching on tuples
Metoden sliding	The method sliding
Metoderna zipWithIndex, groupBy	The methods zipWithIndex, groupBy
Multipla parameterlistor	Multiple parameter lists
Mönstermatcha enumeration	Pattern matching an enumeration
Mönstermatchning och förseglade typer	Pattern matching and sealed types
Namnbyte vid import	Renaming on import
Namnrymd och skuggning	Namespace and shadowing
Några användbara samlingsmetoder vid implementation av sekvensalgoritmer	Some useful collection methods when implementing sequence algorithms
Några konstigheter med Array	Some oddities with Array
Några smidiga metoder på Option	Some convenient methods on Option
Oföränderlig eller förändringsbar?	Immutable or mutable?
Oföränderlig mängd	Immutable set
Oföränderlig nyckel-värde-tabell	Immutable key-value table
Option för hantering av ev. saknade värden	Option for handling possibly missing values
Orsaka undantag indirekt med require och assert	Cause exceptions indirectly with require and assert
Paket i REPL	Packages in the REPL
Parameter och argument	Parameter and argument
Platshållarsyntax för anonyma funktioner	Placeholder syntax for anonymous functions
Plocka isär samlingar med djupa mönster	Taking collections apart with deep patterns
Predikat, med och utan namn	Predicates, with and without names
Primitiva try-catch-uttryck	Primitive try-catch expressions
Program, kontrollstrukturer, maskinkod	Programs, control structures, machine code
Protected ger synlighet begränsad till subtyper	Protected gives visibility limited to subtypes
Pseudo-kod för SEQ-INSERT-COPY	Pseudo-code for SEQ-INSERT-COPY
Punktnotation och operatornotation	Dot notation and operator notation
Referensen this	The reference this
Referenslikhet eller innehållslikhet?	Reference equality or content equality?
Registrering	Tallying
Rekursiva funktioner	Recursive functions
Repeterade parametrar blir sekvens	Repeated parameters become a sequence
Samlingen Range håller reda på intervall	The collection Range keeps track of intervals
Sekvenser och enumerationer	Sequences and enumerations
Serialisering och deserialisering	Serialization and deserialization
Singelobjekt jämfört med klass	Singleton object compared to class
Singelobjekt är lata	Singleton objects are lazy
Skapa egen najs toString	Create your own nice toString
Skapa en gemensam bastyp med trait och extends	Create a common base type with trait and extends
Skapa ny sekvenssamling eller ändra på plats?	Create a new sequence collection or modify in place?
Sortera till ny samling med godtyckligt ordningspredikat	Sort into a new collection with an arbitrary ordering predicate
Statisk och dynamisk typ	Static and dynamic type
Subtypspolymorfism och dynamisk bindning	Subtype polymorphism and dynamic binding
Sökning	Search
Trait eller abstrakt klass?	Trait or abstract class?
Tupler som parametrar och returvärde.	Tuples as parameters and return value.
Typalias för att abstrahera typnamn	Type alias to abstract type names
Typsäkra argument till ett program med @main	Type-safe arguments to a program with @main
Undvik undantag om det går	Avoid exceptions if possible
Undvika kodduplicering med hjälp av arv	Avoiding code duplication using inheritance
Uttryck eller sats?	Expression or statement?
Vad är arv?	What is inheritance?
Vad är classpath?	What is classpath?
Vad är en Array?	What is an Array?
Vad är en algoritm?	What is an algorithm?
Vad är en klass?	What is a class?
Vad är en kontrollstruktur?	What is a control structure?
Vad är en matris?	What is a matrix?
Vad är en mängd?	What is a set?
Vad är en nyckel-värde-tabell?	What is a key-value table?
Vad är en sekvens?	What is a sequence?
Vad är en tupel?	What is a tuple?
Vad är en typparameter?	What is a type parameter?
Vad är matchning?	What is matching?
Vad är skillnaden mellan val, var, def, lazy val?	What is the difference between val, var, def, lazy val?
Variabeldeklaration och tilldelningssats	Variable declaration and assignment statement
Variabler som ändrar värden kan vara knepiga	Variables that change values can be tricky
Virtuell maskin (VM) == abstrakt hårdvara	Virtual machine (VM) == abstract hardware
Värdeanrop och namnanrop	Call by value and call by name
`ArrayBuffer`	`ArrayBuffer`
`Array`	`Array`
`Char`	`Char`
`ListBuffer`	`ListBuffer`
`List`	`List`
`Option`	`Option`
`String`	`String`
`Try`	`Try`
`Vector`	`Vector`
`def`	`def`
`final` medlem	`final` member
`foreach`	`foreach`
`import`	`import`
`lazy` `val`	`lazy` `val`
`map`	`map`
`trait`	`trait`
`val`	`val`
`var`	`var`
abstrakt medlem	abstract member
abstraktion	abstraction
aktiveringspost	activation record
anonym funktion	anonymous function
anonym klass	anonymous class
anropsstacken	the call stack
argument	argument
arv	inheritance
att ändra på plats	modifying in place
attribut	attribute
bastyp	base type
booleskt värde	boolean value
case-klass	case class
classpath	classpath
defaultargument	default argument
dynamisk bindning	dynamic binding
dynamisk typ	dynamic type
ej förseglad typhierarki	non-sealed type hierarchy
en `trait` `Djur` som har ett abstrakt attribut läte och en konkret metod `låter` som skriver ut lätet, samt två case-klasser som ärver traiten	a `trait` `Animal` that has an abstract attribute sound and a concrete method `makeSound` that prints the sound, as well as two case classes that inherit the trait
en `trait` `Konto` som har en skyddad variabel saldo och en konkret metod `sättIn` som ökar saldot, samt en subtyp som läser saldot	a `trait` `Account` that has a protected variable balance and a concrete method `deposit` that increases the balance, as well as a subtype that reads the balance
en `trait` som har en abstrakt metod och två konkreta subtyper som implementerar den olika, samt en funktion som tar emot bastypen och anropar metoden polymorft	a `trait` that has an abstract method and two concrete subtypes that implement it differently, as well as a function that receives the base type and calls the method polymorphically
en anonym funktion `Int` => `Int` som ger kvadraten och som appliceras på alla element i en heltalssekvens	an anonymous function `Int` => `Int` that gives the square and is applied to all elements in an integer sequence
en anonym funktion med platshållarsyntax som tredubblar ett heltal och applicerar den på `Vector(1, 2, 3)` med `map`	an anonymous function with placeholder syntax that triples an integer and applies it to `Vector(1, 2, 3)` with `map`
en anonym funktion som dubblerar ett heltal och applicerar den på alla element i `Vector(1, 2, 3)` med `map`	an anonymous function that doubles an integer and applies it to all elements in `Vector(1, 2, 3)` with `map`
en anonym funktion som lägger till ett utropstecken efter en sträng och applicerar den på `Vector("hej", "hå")` med `map`	an anonymous function that adds an exclamation mark after a string and applies it to `Vector("hi", "ho")` with `map`
en anonym klass som direkt vid instansiering fyller i den abstrakta metoden hälsning i en `trait` `Hälsare`	an anonymous class that directly at instantiation fills in the abstract method greeting in a `trait` `Greeter`
en bastyp `Fordon` med ett abstrakt attribut maxfart och tre subtyper som ger varsitt värde, samt en `Vector` med blandade fordon vars maxfarter summeras	a base type `Vehicle` with an abstract attribute maxSpeed and three subtypes that each give a value, as well as a `Vector` with mixed vehicles whose max speeds are summed
en bastyp `Form` med en abstrakt metod `area` och subtyperna Kvadrat och Cirkel som implementerar area, samt en `Vector` av Form vars areor summeras polymorft	a base type `Shape` with an abstract method `area` and the subtypes Square and Circle that implement area, as well as a `Vector` of Shape whose areas are summed polymorphically
en bastyp `Meddelande` med en abstrakt metod `formatera` och subtyperna Sms och Epost, samt en funktion som tar en `Vector` av Meddelande och skriver ut alla formaterade	a base type `Message` with an abstract method `format` and the subtypes Sms and Email, as well as a function that takes a `Vector` of Message and prints all formatted
en case-klass `Punkt` och en funktion som med ett konstruktormönster returnerar på axeln om punkten ligger på en axel, annars i planet	a case class `Point` and a function that with a constructor pattern returns on the axis if the point lies on an axis, otherwise in the plane
en case-klass som modellerar en bok med titel, författare och antal sidor, samt en metod som returnerar en ny kopia med en sida tillagd	a case class that models a book with title, author and number of pages, as well as a method that returns a new copy with one page added
en case-klass som modellerar en cirkel med radie och ett härlett attribut som ger arean med `math.Pi` (arean är π·r²)	a case class that models a circle with radius and a derived attribute that gives the area with `math.Pi` (the area is π·r²)
en case-klass som modellerar en spelare med namn och liv och en metod som returnerar en ny kopia med ett liv borttaget	a case class that models a player with name and lives and a method that returns a new copy with one life removed
en case-klass som modellerar en temperatur i Celsius med ett härlett attribut som ger motsvarande värde i Fahrenheit (Fahrenheit = Celsius · 9/5 + 32)	a case class that models a temperature in Celsius with a derived attribute that gives the corresponding value in Fahrenheit (Fahrenheit = Celsius · 9/5 + 32)
